season,round,circuitId,raceName,date,driverId,constructorId,grid,position,points,status,is_winner,positions_gained,driver_form_points,driver_form_position,avg_positions_gained,constructor_form_points
2018,1,Melbourne,Australian Grand Prix,2018-03-25,HAM,Mercedes,1,2,18.0,Finished,0,-1,0.0,0.0,0.0,0.0
2018,1,Melbourne,Australian Grand Prix,2018-03-25,RAI,Ferrari,2,3,15.0,Finished,0,-1,0.0,0.0,0.0,0.0
2018,1,Melbourne,Australian Grand Prix,2018-03-25,VET,Ferrari,3,1,25.0,Finished,1,2,0.0,0.0,0.0,0.0
2018,1,Melbourne,Australian Grand Prix,2018-03-25,VER,Red Bull Racing,4,6,8.0,Finished,0,-2,0.0,0.0,0.0,0.0
2018,1,Melbourne,Australian Grand Prix,2018-03-25,MAG,Haas F1 Team,5,17,0.0,Wheel,0,-12,0.0,0.0,0.0,0.0
2018,1,Melbourne,Australian Grand Prix,2018-03-25,GRO,Haas F1 Team,6,16,0.0,Wheel,0,-10,0.0,0.0,0.0,0.0
2018,1,Melbourne,Australian Grand Prix,2018-03-25,HUL,Renault,7,7,6.0,Finished,0,0,0.0,0.0,0.0,0.0
2018,1,Melbourne,Australian Grand Prix,2018-03-25,RIC,Red Bull Racing,8,4,12.0,Finished,0,4,0.0,0.0,0.0,0.0
2018,1,Melbourne,Australian Grand Prix,2018-03-25,SAI,Renault,9,10,1.0,Finished,0,-1,0.0,0.0,0.0,0.0
2018,1,Melbourne,Australian Grand Prix,2018-03-25,ALO,McLaren,10,5,10.0,Finished,0,5,0.0,0.0,0.0,0.0
2018,1,Melbourne,Australian Grand Prix,2018-03-25,VAN,McLaren,11,9,2.0,Finished,0,2,0.0,0.0,0.0,0.0
2018,1,Melbourne,Australian Grand Prix,2018-03-25,PER,Force India,12,11,0.0,Finished,0,1,0.0,0.0,0.0,0.0
2018,1,Melbourne,Australian Grand Prix,2018-03-25,STR,Williams,13,14,0.0,Finished,0,-1,0.0,0.0,0.0,0.0
2018,1,Melbourne,Australian Grand Prix,2018-03-25,OCO,Force India,14,12,0.0,Finished,0,2,0.0,0.0,0.0,0.0
2018,1,Melbourne,Australian Grand Prix,2018-03-25,BOT,Mercedes,15,8,4.0,Finished,0,7,0.0,0.0,0.0,0.0
2018,1,Melbourne,Australian Grand Prix,2018-03-25,HAR,Toro Rosso,16,15,0.0,+1 Lap,0,1,0.0,0.0,0.0,0.0
2018,1,Melbourne,Australian Grand Prix,2018-03-25,ERI,Sauber,17,19,0.0,Steering,0,-2,0.0,0.0,0.0,0.0
2018,1,Melbourne,Australian Grand Prix,2018-03-25,LEC,Sauber,18,13,0.0,Finished,0,5,0.0,0.0,0.0,0.0
2018,1,Melbourne,Australian Grand Prix,2018-03-25,SIR,Williams,19,20,0.0,Brakes,0,-1,0.0,0.0,0.0,0.0
2018,1,Melbourne,Australian Grand Prix,2018-03-25,GAS,Toro Rosso,20,18,0.0,Engine,0,2,0.0,0.0,0.0,0.0
2018,2,Sakhir,Bahrain Grand Prix,2018-04-08,VET,Ferrari,1,1,25.0,Finished,1,0,25.0,1.0,2.0,40.0
2018,2,Sakhir,Bahrain Grand Prix,2018-04-08,RAI,Ferrari,2,18,0.0,Wheel,0,-16,15.0,3.0,-1.0,40.0
2018,2,Sakhir,Bahrain Grand Prix,2018-04-08,BOT,Mercedes,3,2,18.0,Finished,0,1,4.0,8.0,7.0,22.0
2018,2,Sakhir,Bahrain Grand Prix,2018-04-08,RIC,Red Bull Racing,4,20,0.0,Electrical,0,-16,12.0,4.0,4.0,20.0
2018,2,Sakhir,Bahrain Grand Prix,2018-04-08,GAS,Toro Rosso,5,4,12.0,Finished,0,1,0.0,18.0,2.0,0.0
2018,2,Sakhir,Bahrain Grand Prix,2018-04-08,MAG,Haas F1 Team,6,5,10.0,Finished,0,1,0.0,17.0,-12.0,0.0
2018,2,Sakhir,Bahrain Grand Prix,2018-04-08,HUL,Renault,7,6,8.0,Finished,0,1,6.0,7.0,0.0,7.0
2018,2,Sakhir,Bahrain Grand Prix,2018-04-08,OCO,Force India,8,10,1.0,+1 Lap,0,-2,0.0,12.0,2.0,0.0
2018,2,Sakhir,Bahrain Grand Prix,2018-04-08,HAM,Mercedes,9,3,15.0,Finished,0,6,18.0,2.0,-1.0,22.0
2018,2,Sakhir,Bahrain Grand Prix,2018-04-08,SAI,Renault,10,11,0.0,+1 Lap,0,-1,1.0,10.0,-1.0,7.0
2018,2,Sakhir,Bahrain Grand Prix,2018-04-08,HAR,Toro Rosso,11,17,0.0,+1 Lap,0,-6,0.0,15.0,1.0,0.0
2018,2,Sakhir,Bahrain Grand Prix,2018-04-08,PER,Force India,12,16,0.0,+1 Lap,0,-4,0.0,11.0,1.0,0.0
2018,2,Sakhir,Bahrain Grand Prix,2018-04-08,ALO,McLaren,13,7,6.0,+1 Lap,0,6,10.0,5.0,5.0,12.0
2018,2,Sakhir,Bahrain Grand Prix,2018-04-08,VAN,McLaren,14,8,4.0,+1 Lap,0,6,2.0,9.0,2.0,12.0
2018,2,Sakhir,Bahrain Grand Prix,2018-04-08,VER,Red Bull Racing,15,19,0.0,Puncture,0,-4,8.0,6.0,-2.0,20.0
2018,2,Sakhir,Bahrain Grand Prix,2018-04-08,GRO,Haas F1 Team,16,13,0.0,+1 Lap,0,3,0.0,16.0,-10.0,0.0
2018,2,Sakhir,Bahrain Grand Prix,2018-04-08,ERI,Sauber,17,9,2.0,+1 Lap,0,8,0.0,19.0,-2.0,0.0
2018,2,Sakhir,Bahrain Grand Prix,2018-04-08,SIR,Williams,18,15,0.0,+1 Lap,0,3,0.0,20.0,-1.0,0.0
2018,2,Sakhir,Bahrain Grand Prix,2018-04-08,LEC,Sauber,19,12,0.0,+1 Lap,0,7,0.0,13.0,5.0,0.0
2018,2,Sakhir,Bahrain Grand Prix,2018-04-08,STR,Williams,20,14,0.0,+1 Lap,0,6,0.0,14.0,-1.0,0.0
2018,3,Shanghai,Chinese Grand Prix,2018-04-15,VET,Ferrari,1,8,4.0,Finished,0,-7,50.0,1.0,1.0,65.0
2018,3,Shanghai,Chinese Grand Prix,2018-04-15,RAI,Ferrari,2,3,15.0,Finished,0,-1,15.0,10.5,-8.5,65.0
2018,3,Shanghai,Chinese Grand Prix,2018-04-15,BOT,Mercedes,3,2,18.0,Finished,0,1,22.0,5.0,4.0,55.0
2018,3,Shanghai,Chinese Grand Prix,2018-04-15,HAM,Mercedes,4,4,12.0,Finished,0,0,33.0,2.5,2.5,55.0
2018,3,Shanghai,Chinese Grand Prix,2018-04-15,VER,Red Bull Racing,5,5,10.0,Finished,0,0,8.0,12.5,-3.0,20.0
2018,3,Shanghai,Chinese Grand Prix,2018-04-15,RIC,Red Bull Racing,6,1,25.0,Finished,1,5,12.0,12.0,-6.0,20.0
2018,3,Shanghai,Chinese Grand Prix,2018-04-15,HUL,Renault,7,6,8.0,Finished,0,1,14.0,6.5,0.5,15.0
2018,3,Shanghai,Chinese Grand Prix,2018-04-15,PER,Force India,8,12,0.0,Finished,0,-4,0.0,13.5,-1.5,1.0
2018,3,Shanghai,Chinese Grand Prix,2018-04-15,SAI,Renault,9,9,2.0,Finished,0,0,1.0,10.5,-1.0,15.0
2018,3,Shanghai,Chinese Grand Prix,2018-04-15,GRO,Haas F1 Team,10,17,0.0,Finished,0,-7,0.0,14.5,-3.5,10.0
2018,3,Shanghai,Chinese Grand Prix,2018-04-15,MAG,Haas F1 Team,11,10,1.0,Finished,0,1,10.0,11.0,-5.5,10.0
2018,3,Shanghai,Chinese Grand Prix,2018-04-15,OCO,Force India,12,11,0.0,Finished,0,1,1.0,11.0,0.0,1.0
2018,3,Shanghai,Chinese Grand Prix,2018-04-15,ALO,McLaren,13,7,6.0,Finished,0,6,16.0,6.0,5.5,22.0
2018,3,Shanghai,Chinese Grand Prix,2018-04-15,VAN,McLaren,14,13,0.0,Finished,0,1,6.0,8.5,4.0,22.0
2018,3,Shanghai,Chinese Grand Prix,2018-04-15,HAR,Toro Rosso,15,20,0.0,Collision damage,0,-5,0.0,16.0,-2.5,12.0
2018,3,Shanghai,Chinese Grand Prix,2018-04-15,SIR,Williams,16,15,0.0,Finished,0,1,0.0,17.5,1.0,0.0
2018,3,Shanghai,Chinese Grand Prix,2018-04-15,GAS,Toro Rosso,17,18,0.0,Finished,0,-1,12.0,11.0,1.5,12.0
2018,3,Shanghai,Chinese Grand Prix,2018-04-15,STR,Williams,18,14,0.0,Finished,0,4,0.0,14.0,2.5,0.0
2018,3,Shanghai,Chinese Grand Prix,2018-04-15,LEC,Sauber,19,19,0.0,Finished,0,0,0.0,12.5,6.0,2.0
2018,3,Shanghai,Chinese Grand Prix,2018-04-15,ERI,Sauber,20,16,0.0,Finished,0,4,2.0,14.0,3.0,2.0
2018,4,Baku,Azerbaijan Grand Prix,2018-04-29,VET,Ferrari,1,4,12.0,Finished,0,-3,54.0,3.3333333333333335,-1.6666666666666667,84.0
2018,4,Baku,Azerbaijan Grand Prix,2018-04-29,HAM,Mercedes,2,1,25.0,Finished,1,1,45.0,3.0,1.6666666666666667,85.0
2018,4,Baku,Azerbaijan Grand Prix,2018-04-29,BOT,Mercedes,3,14,0.0,Puncture,0,-11,40.0,4.0,3.0,85.0
2018,4,Baku,Azerbaijan Grand Prix,2018-04-29,RIC,Red Bull Racing,4,17,0.0,Collision,0,-13,37.0,8.333333333333334,-2.3333333333333335,55.0
2018,4,Baku,Azerbaijan Grand Prix,2018-04-29,VER,Red Bull Racing,5,16,0.0,Collision,0,-11,18.0,10.0,-2.0,55.0
2018,4,Baku,Azerbaijan Grand Prix,2018-04-29,RAI,Ferrari,6,2,18.0,Finished,0,4,30.0,8.0,-6.0,84.0
2018,4,Baku,Azerbaijan Grand Prix,2018-04-29,OCO,Force India,7,19,0.0,Collision,0,-12,1.0,11.0,0.3333333333333333,1.0
2018,4,Baku,Azerbaijan Grand Prix,2018-04-29,PER,Force India,8,3,15.0,Finished,0,5,0.0,13.0,-2.3333333333333335,1.0
2018,4,Baku,Azerbaijan Grand Prix,2018-04-29,SAI,Renault,9,5,10.0,Finished,0,4,3.0,10.0,-0.6666666666666666,25.0
2018,4,Baku,Azerbaijan Grand Prix,2018-04-29,STR,Williams,10,8,4.0,Finished,0,2,0.0,14.0,3.0,0.0
2018,4,Baku,Azerbaijan Grand Prix,2018-04-29,SIR,Williams,11,20,0.0,Collision,0,-9,0.0,16.666666666666668,1.0,0.0
2018,4,Baku,Azerbaijan Grand Prix,2018-04-29,ALO,McLaren,12,7,6.0,Finished,0,5,22.0,6.333333333333333,5.666666666666667,28.0
2018,4,Baku,Azerbaijan Grand Prix,2018-04-29,LEC,Sauber,13,6,8.0,Finished,0,7,0.0,14.666666666666666,4.0,2.0
2018,4,Baku,Azerbaijan Grand Prix,2018-04-29,HUL,Renault,14,18,0.0,Accident,0,-4,22.0,6.333333333333333,0.6666666666666666,25.0
2018,4,Baku,Azerbaijan Grand Prix,2018-04-29,MAG,Haas F1 Team,15,13,0.0,Finished,0,2,11.0,10.666666666666666,-3.3333333333333335,11.0
2018,4,Baku,Azerbaijan Grand Prix,2018-04-29,VAN,McLaren,16,9,2.0,Finished,0,7,6.0,10.0,3.0,28.0
2018,4,Baku,Azerbaijan Grand Prix,2018-04-29,GAS,Toro Rosso,17,12,0.0,Finished,0,5,12.0,13.333333333333334,0.6666666666666666,12.0
2018,4,Baku,Azerbaijan Grand Prix,2018-04-29,ERI,Sauber,18,11,0.0,Finished,0,7,2.0,14.666666666666666,3.3333333333333335,2.0
2018,4,Baku,Azerbaijan Grand Prix,2018-04-29,HAR,Toro Rosso,19,10,1.0,Finished,0,9,0.0,17.333333333333332,-3.3333333333333335,12.0
2018,4,Baku,Azerbaijan Grand Prix,2018-04-29,GRO,Haas F1 Team,20,15,0.0,Accident,0,5,0.0,15.333333333333334,-4.666666666666667,11.0
2018,5,Barcelona,Spanish Grand Prix,2018-05-13,HAM,Mercedes,1,1,25.0,Finished,1,0,52.0,2.6666666666666665,2.3333333333333335,88.0
2018,5,Barcelona,Spanish Grand Prix,2018-05-13,BOT,Mercedes,2,2,18.0,Finished,0,0,36.0,6.0,-3.0,88.0
